supplier,sku,name,current_stock,in_transit_qty,forecast_next_month,recommended_qty,months_of_cover,urgency,explanation,moq
Systeme Electric,300200752_,К121 Роз. 2-я з/к о/у IP54 16А Atlas Profi 54 АНТРАЦИТ ATN544026 (6),82.0,60.0,129.7,54.0,0.63,Высокая,база спроса ≈76 шт/мес (история 32 мес.); сезонность ×1.90; снижение спроса ×0.90; исключено разовых крупных заказов: 1; прогноз след. месяц ≈130 шт; остаток 82 + в пути 60,6.0
Systeme Electric,300200291_,"S393 Перекрест.переключ. 1 кл 10А с/у б/рамки ""ATLAS"" белый ATN171 (5)",70.0,0.0,77.7,50.0,0.9,Высокая,база спроса ≈41 шт/мес (история 32 мес.); сезонность ×1.19; рост спроса ×1.59; прогноз след. месяц ≈78 шт; остаток 70 + в пути 0,5.0
Systeme Electric,030200256_,"S369 Роз. с з/к 16А с/у ""GLOSSA"" белый GSL142 (15)",3.0,0.0,23.7,45.0,0.13,Высокая,база спроса ≈44 шт/мес (история 24 мес.); сезонность ×1.02; снижение спроса ×0.53; прогноз след. месяц ≈24 шт; остаток 3 + в пути 0,15.0
Systeme Electric,300200413_,"Blanca Силовой Комплект О/У 2К+3 32А, 250В розетка, вилка, подъем.коробка",29.0,0.0,45.5,42.0,0.64,Высокая,база спроса ≈22 шт/мес (история 31 мес.); сезонность ×2.16; снижение спроса ×0.94; прогноз след. месяц ≈46 шт; остаток 29 + в пути 0,6.0
Systeme Electric,010400437_,City 9 ЩРН-П 12 Прозрач./дв. Systeme Electric,63.0,0.0,69.1,41.0,0.91,Высокая,база спроса ≈26 шт/мес (история 31 мес.); сезонность ×1.77; рост спроса ×1.53; исключено разовых крупных заказов: 4; прогноз след. месяц ≈69 шт; остаток 63 + в пути 0,1.0
Systeme Electric,300200308_,"S412 Рамка 1-ная AQUA IP 44 ""ATLAS"" белый ATN0101 (10)",55.0,0.0,61.0,40.0,0.9,Высокая,база спроса ≈16 шт/мес (история 32 мес.); сезонность ×1.91; рост спроса ×2.00; прогноз след. месяц ≈61 шт; остаток 55 + в пути 0,10.0
Systeme Electric,300200547_,"K028 Выкл 3 кл 10А с/у б/рамки ""ATLAS"" ШАМПАНЬ ATN531 (10)",14.0,0.0,33.5,40.0,0.42,Высокая,база спроса ≈8 шт/мес (история 31 мес.); сезонность ×2.22; рост спроса ×1.79; прогноз след. месяц ≈34 шт; остаток 14 + в пути 0,10.0
Systeme Electric,300200914_,"G131 Выкл. 2 кл 10А механизм ""ARTGALLERY"" мокко GAL0651 (10)",58.0,0.0,60.6,40.0,0.96,Высокая,база спроса ≈18 шт/мес (история 20 мес.); сезонность ×1.67; рост спроса ×2.00; прогноз след. месяц ≈61 шт; остаток 58 + в пути 0,10.0
Systeme Electric,030200008_,"S232 2кл с/у. 6А IP20 ""Прима"" ВС 56-043-б (96) !!!",6.0,0.0,25.0,32.0,0.24,Высокая,база спроса ≈34 шт/мес (история 7 мес.); снижение спроса ×0.72; прогноз след. месяц ≈25 шт; остаток 6 + в пути 0,1.0
Systeme Electric,300200726_,К098 Переключ. 1 кл 10А с/у б/рамки ATLAS ПЕСОЧНЫЙ ATN1261 (5),53.0,0.0,53.5,30.0,0.99,Высокая,база спроса ≈18 шт/мес (история 31 мес.); сезонность ×1.53; рост спроса ×2.00; прогноз след. месяц ≈54 шт; остаток 53 + в пути 0,5.0
Systeme Electric,300200775_,"K090 Диммер повортно нажимной мех. LED RC 400Вт ""ATLAS"" КАРБОН ATN1023 (1) NEW",14.0,0.0,28.4,29.0,0.49,Высокая,база спроса ≈2 шт/мес (история 14 мес.); сезонность ×10.50; рост спроса ×1.35; прогноз след. месяц ≈28 шт; остаток 14 + в пути 0,1.0
Systeme Electric,030200006_,"S231 1кл с/у. 6А IP20 ""Прима"" ВС 16-057-б (96) !!!",1.0,0.0,17.0,25.0,0.06,Высокая,база спроса ≈17 шт/мес (история 5 мес.); продажи скорректированы вверх из-за дефицита на складе; прогноз след. месяц ≈17 шт; остаток 1 + в пути 0,1.0
Systeme Electric,030200029_,"S255 2кл.о/у. 6А IP20 ""ХИТ"" ВА 56-232-б (168) !!!",9.0,0.0,18.1,25.0,0.5,Высокая,база спроса ≈21 шт/мес (история 13 мес.); сезонность ×1.00; снижение спроса ×0.86; прогноз след. месяц ≈18 шт; остаток 9 + в пути 0,25.0
Systeme Electric,030200176_,"S315  Розетка 1-я о/у, з/ш, з/к IP44 Белая ЭТЮД РА16-044В (96)",1.0,0.0,12.6,24.0,0.08,Высокая,база спроса ≈13 шт/мес (история 14 мес.); сезонность ×1.00; снижение спроса ×0.95; прогноз след. месяц ≈13 шт; остаток 1 + в пути 0,12.0
Systeme Electric,300200312_,"S404 USB розетка - 2 порта с/у б/рамки ""ATLAS"" белый (1) ATL133",7.0,0.0,18.2,21.0,0.38,Высокая,база спроса ≈5 шт/мес (история 14 мес.); сезонность ×2.00; рост спроса ×1.82; прогноз след. месяц ≈18 шт; остаток 7 + в пути 0,1.0
Systeme Electric,030200244_,"S363 Выкл 2 кл с инд 10А с/у б/рамки ""GLOSSA"" белый GSL153 (20)",1.0,0.0,7.5,20.0,0.13,Высокая,база спроса ≈4 шт/мес (история 13 мес.); сезонность ×1.25; рост спроса ×1.51; прогноз след. месяц ≈8 шт; остаток 1 + в пути 0,20.0
Systeme Electric,030200249_,"S366 Переключ. 1 кл с инд 10А с/у б/рамки ""GLOSSA"" белый GSL163 (20)",1.0,0.0,3.0,20.0,0.33,Высокая,база спроса ≈2 шт/мес (история 19 мес.); сезонность ×1.00; рост спроса ×1.42; прогноз след. месяц ≈3 шт; остаток 1 + в пути 0,20.0
